#,page,category,english_source,translation_ru,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
11,calculators.aww,eligibility citation,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. AWW calculations are based on current New York State Workers' Compensation Law §14 and Department of Financial Services regulations. The accuracy of results depends on the wages entered. Disputes over AWW may require detailed wage documentation and adjudication by the Workers' Compensation Board. Consult a qualified workers' compensation attorney for guidance on your specific case.,Отказ от ответственности: Этот калькулятор предоставляется исключительно в информационных целях и не является юридической консультацией. Расчёты AWW основаны на действующем Законе штата Нью-Йорк о компенсации работникам §14 и правилах Департамента финансовых услуг. Точность результатов зависит от введённых данных о заработной плате. Споры относительно AWW могут потребовать подробной документации о заработной плате и рассмотрения Комиссией по компенсации работникам (Workers' Compensation Board). Проконсультируйтесь с квалифицированным адвокатом по компенсации работникам для получения рекомендаций по Вашему конкретному делу.,,,,calculators.aww.disclaimer-this-calculator-is-provided
12,calculators.aww,citation,Earnings Work History (§14 Multiplier),Доход и трудовая история (множитель §14),,,,calculators.aww.earnings-work-history-14-multiplier
13,calculators.aww,citation,"Free NYS Average Weekly Wage (AWW) calculator under WCL §14. Statutory methods: 52-week divisor, 200/260/300 multiplier, straight divisor.","Бесплатный калькулятор средней недельной заработной платы (Average Weekly Wage, AWW) штата Нью-Йорк согласно WCL §14. Установленные законом методы: делитель на 52 недели, множитель 200/260/300, прямой делитель.",,,,calculators.aww.jsonld.free-nys-average-weekly-wage
14,calculators.aww,citation,Which WCL §14 method applies to me?,Какой метод WCL §14 применяется в моём случае?,,,,calculators.aww.jsonld.which-wcl-14-method-applies
15,calculators.aww,citation,Yes — AWW is based on gross earnings including overtime. Wages from concurrent employment (a second job) may also be added under WCL §14(6) when the injury disables you from both jobs.,"Да — AWW рассчитывается на основе валового дохода, включая сверхурочные. Заработок от совмещённой занятости (второй работы) также может быть добавлен согласно WCL §14(6), если травма лишает Вас трудоспособности на обеих работах.",,,,calculators.aww.jsonld.yes-aww-is-based-on
16,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks, SLU awards, LWEC classifications — is computed from two-thirds of it.","Ваш AWW — это Ваш валовой доход за 52 недели до травмы, переведённый в недельный показатель согласно WCL §14. Почти каждая выплата по Вашему делу — еженедельные чеки, компенсации SLU, классификации LWEC — рассчитывается как две трети от этой суммы.",,,,calculators.aww.jsonld.your-aww-is-your-gross
17,calculators.aww,citation,"Straight Divisor: AWW = Total Earnings ÷ Weeks Worked. Used by the Board when the §14 multiplier methods don't yield a fair result, or for irregular/seasonal workers, new hires, and part-year employment.","Прямой делитель: AWW = Общий доход ÷ Отработанные недели. Используется Комиссией, когда методы множителя §14 не дают справедливого результата, или для нерегулярных/сезонных работников, новых сотрудников и неполного года занятости.",,,,calculators.aww.straight-divisor-aww-total-earnings
18,calculators.aww,citation,WCL §14 — How AWW Is Calculated,WCL §14 — как рассчитывается AWW,,,,calculators.aww.wcl-14-how-aww-is
19,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks capped at the statutory maximum rate, Schedule Loss of Use (SLU) awards, and LWEC classifications — is computed from two-thirds of it.","Ваш AWW — это Ваш валовой доход за 52 недели до травмы, переведённый в недельный показатель согласно WCL §14. Почти каждая выплата по Вашему делу — еженедельные чеки, ограниченные установленной законом максимальной ставкой, компенсации за утрату функции конечности (SLU) и классификации LWEC — рассчитывается как две трети от этой суммы.",,,,calculators.aww.your-aww-is-your-gross
20,calculators.benefit-rate,citation,Press the Look Up Rates button. The tool instantly returns the applicable statutory weekly maximum and minimum benefit rates under WCL §25(3).,Нажмите кнопку «Найти ставки». Инструмент мгновенно выдаёт применимые установленные законом еженедельные максимальную и минимальную ставки выплат согласно WCL §25(3).,,,,calculators.benefit-rate.jsonld.press-the-look-up-rates
21,calculators.benefit-rate,eligibility,Talk to a NY workers' comp attorney. Many offer free consultations and work on contingency — you pay nothing unless you win.,"Поговорите с адвокатом по компенсации работникам Нью-Йорка. Многие предлагают бесплатные консультации и работают на условиях гонорара успеха — Вы ничего не платите, если не выиграете.",,,,calculators.benefit-rate.talk-to-a-ny-workers
22,calculators.calculate-your-aww-under-wcl,citation,"Calculate your AWW under WCL §14 and the 2/3 comp rate. Multi-employer, concurrent, and seasonal scenarios. Outputs the indemnity rate with citation.","Рассчитайте Ваш AWW согласно WCL §14 и ставку компенсации 2/3. Сценарии для нескольких работодателей, совмещённой и сезонной занятости. Выводит ставку страховой выплаты со ссылкой на источник.",,,,calculators.calculate-your-aww-under-wcl
23,calculators.ccp-award,citation,Attorney Fee (WCL §24): The fee on the award equals 15% of the moving (new money) amount. The fee on the CCP is 1/3 of the CCP dollar amount. Both are paid from claimant's award.,Гонорар адвоката (WCL §24): Гонорар с компенсации составляет 15% от суммы к перечислению (новых денег). Гонорар с CCP составляет 1/3 от суммы CCP в долларах. Оба выплачиваются из компенсации заявителя.,,,,calculators.ccp-award.attorney-fee-wcl-24-the
24,calculators.ccp-award,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. Award calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board based on the specific record, medical evidence, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.","Отказ от ответственности: Этот калькулятор предоставляется исключительно в информационных целях и не является юридической консультацией. Расчёты компенсаций основаны на действующем законодательстве штата Нью-Йорк о компенсации работникам и правилах Департамента финансовых услуг. Фактические компенсации определяются Комиссией по компенсации работникам (Workers' Compensation Board) на основе конкретных материалов дела, медицинских доказательств и результатов слушаний. Проконсультируйтесь с квалифицированным адвокатом по компенсации работникам для получения рекомендаций по Вашему конкретному делу.",,,,calculators.ccp-award.disclaimer-this-calculator-is-provided
25,calculators.ccp-award,citation,Generate a WCB fee application pre-filled with these award figures.,"Сформируйте заявление на оплату услуг WCB, предзаполненное этими данными компенсации.",,,,calculators.ccp-award.generate-a-wcb-fee-application
26,calculators.ccp-award,citation,Generate WCB fee application (Pro feature),Сформировать заявление на оплату услуг WCB (функция Pro),,,,calculators.ccp-award.generate-wcb-fee-application-pro.label
27,calculators.ccp-award,citation,"Attorney fees on accrued awards are commonly 15% of the accrued amount, subject to Workers' Compensation Board approval under WCL §24. The calculator shows the fee and the net to claimant.",Гонорары адвокатов с начисленных компенсаций обычно составляют 15% от начисленной суммы и подлежат утверждению Комиссией по компенсации работникам (Workers' Compensation Board) согласно WCL §24. Калькулятор показывает гонорар и чистую сумму для заявителя.,,,,calculators.ccp-award.jsonld.attorney-fees-on-accrued-awards
28,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24. This calculator shows the full fee and net-to-claimant breakdown.","Адвокатам обычно присуждается сумма, равная 15 неделям, умноженным на еженедельную ставку классификации, которая вычитается из компенсации и подлежит утверждению Комиссией по компенсации работникам (Workers' Compensation Board) согласно WCL §24. Этот калькулятор показывает полную разбивку гонорара и чистой суммы для заявителя.",,,,calculators.lwec.attorneys-are-typically-awarded-15
29,calculators.lwec,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. LWEC calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. The classification percentage is determined by the Workers' Compensation Board and may vary based on medical evidence, vocational evaluation, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.","Отказ от ответственности: Этот калькулятор предоставляется исключительно в информационных целях и не является юридической консультацией. Расчёты LWEC основаны на действующем законодательстве штата Нью-Йорк о компенсации работникам и правилах Департамента финансовых услуг. Процент классификации определяется Комиссией по компенсации работникам (Workers' Compensation Board) и может варьироваться в зависимости от медицинских доказательств, профессиональной оценки и результатов слушаний. Проконсультируйтесь с квалифицированным адвокатом по компенсации работникам для получения рекомендаций по Вашему конкретному делу.",,,,calculators.lwec.disclaimer-this-calculator-is-provided
30,calculators.lwec,citation,How LWEC Is Calculated (WCL §15(3)(w)),Как рассчитывается LWEC (WCL §15(3)(w)),,,,calculators.lwec.how-lwec-is-calculated-wcl
31,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24.","Адвокатам обычно присуждается сумма, равная 15 неделям, умноженным на еженедельную ставку классификации, которая вычитается из компенсации и подлежит утверждению Комиссией по компенсации работникам (Workers' Compensation Board) согласно WCL §24.",,,,calculators.lwec.jsonld.attorneys-are-typically-awarded-15
32,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.","Нет. Компенсация за утрату функции конечности (Schedule Loss of Use, SLU) выплачивается за фиксированное количество недель за постоянную утрату функции конечности согласно WCL §15(3). LWEC компенсирует не входящие в этот перечень постоянные травмы — позвоночника, головы и системные состояния — еженедельными выплатами в течение ограниченного срока.",,,,calculators.lwec.jsonld.no-a-schedule-loss-of
33,calculators.lwec,citation,WCL §15(3)(w) caps benefit weeks by LWEC percentage — from 225 weeks at 15% or less up to 525 weeks at over 95%. Workers found permanently totally disabled receive lifetime benefits.,"WCL §15(3)(w) ограничивает количество недель выплат в зависимости от процента LWEC — от 225 недель при 15% или менее до 525 недель при более чем 95%. Работники, признанные постоянно полностью нетрудоспособными, получают пожизненные выплаты.",,,,calculators.lwec.jsonld.wcl-15-3-w-caps
34,calculators.lwec,citation,"New York permanency awards come in two forms. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity — arm, hand, leg, foot, fingers, vision, or hearing — under WCL §15(3), even if you're back at work at full pay. LWEC covers non-schedule permanent injuries (spine, head, systemic conditions) with weekly benefits paid over a capped duration. A case generally resolves under one framework or the other for a given injury.","Постоянные компенсации в Нью-Йорке бывают двух видов. Компенсация за утрату функции конечности (Schedule Loss of Use, SLU) выплачивается за фиксированное количество недель за постоянную утрату функции конечности — руки, кисти, ноги, стопы, пальцев, зрения или слуха — согласно WCL §15(3), даже если Вы вернулись на работу с полной оплатой. LWEC покрывает не входящие в этот перечень постоянные травмы (позвоночник, голова, системные состояния) еженедельными выплатами в течение ограниченного срока. Дело, как правило, рассматривается по одной из этих систем для данной травмы.",,,,calculators.lwec.new-york-permanency-awards-come
35,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.","Нет. Компенсация за утрату функции конечности (SLU) выплачивается за фиксированное количество недель за постоянную утрату функции конечности согласно WCL §15(3). LWEC компенсирует не входящие в этот перечень постоянные травмы — позвоночника, головы и системные состояния — еженедельными выплатами в течение ограниченного срока.",,,,calculators.lwec.no-a-schedule-loss-of
36,calculators.lwec,citation,The duration is capped by WCL §15(3)(w): the LWEC percentage falls into a bracket that sets the maximum weeks of benefits — from 225 weeks at 15% or less up to 525 weeks above 95%. Workers classified with a permanent total disability receive lifetime benefits.,"Продолжительность ограничена WCL §15(3)(w): процент LWEC попадает в категорию, которая устанавливает максимальное количество недель выплат — от 225 недель при 15% или менее до 525 недель при более чем 95%. Работники, классифицированные с постоянной полной нетрудоспособностью, получают пожизненные выплаты.",,,,calculators.lwec.the-duration-is-capped-by
37,calculators.radiculopathy,obligation eligibility,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. It implements the point system from the 2012 NYS Impairment Guidelines (Tables S11.4–S11.7). The severity ranking output must be used with Tables 11.1 or 11.2 to determine the final Medical Impairment Class. Actual findings are determined by the Workers' Compensation Board based on all medical evidence. Consult a qualified workers' compensation attorney for guidance on your specific case.,Отказ от ответственности: Этот калькулятор предоставляется исключительно в информационных целях и не является юридической консультацией. Он реализует балльную систему Руководства по оценке нарушений штата Нью-Йорк 2012 года (Таблицы S11.4–S11.7). Результат рейтинга тяжести необходимо использовать вместе с Таблицами 11.1 или 11.2 для определения окончательного класса медицинского нарушения. Фактические результаты определяются Комиссией по компенсации работникам (Workers' Compensation Board) на основе всех медицинских доказательств. Проконсультируйтесь с квалифицированным адвокатом по компенсации работникам для получения рекомендаций по Вашему конкретному делу.,,,,calculators.radiculopathy.disclaimer-this-calculator-is-provided
38,calculators.rates,eligibility,"Disclaimer: This rate lookup is provided for informational purposes only and does not constitute legal advice. Rates shown are based on New York Department of Financial Services announcements and are accurate as of the dates shown. For the most current rate information, consult the official DFS website or a qualified workers' compensation attorney.",Отказ от ответственности: Этот поиск ставок предоставляется исключительно в информационных целях и не является юридической консультацией. Показанные ставки основаны на объявлениях Департамента финансовых услуг штата Нью-Йорк и точны на указанные даты. Для получения самой актуальной информации о ставках проконсультируйтесь с официальным сайтом DFS или квалифицированным адвокатом по компенсации работникам.,,,,calculators.rates.disclaimer-this-rate-lookup-is
39,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","Для травм, произошедших 1 июля 2026 г. или позднее, максимальная еженедельная ставка компенсации составляет $1,281.50, согласно WCB Subject No. 046-1805. Для дат травм в период с 1 июля 2025 г. по 30 июня 2026 г. максимум составляет $1,222.42.",,,,calculators.rates.for-injuries-on-or-after
40,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate in New York is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","Для травм, произошедших 1 июля 2026 г. или позднее, максимальная еженедельная ставка компенсации в Нью-Йорке составляет $1,281.50, согласно WCB Subject No. 046-1805. Для дат травм в период с 1 июля 2025 г. по 30 июня 2026 г. максимум составляет $1,222.42.",,,,calculators.rates.jsonld.for-injuries-on-or-after
41,calculators.rates,eligibility,"Rates are updated annually by the New York Department of Financial Services. The rate effective on the date of injury applies throughout the case, unless modified by subsequent legislation.","Ставки обновляются ежегодно Департаментом финансовых услуг штата Нью-Йорк. Ставка, действующая на дату травмы, применяется на протяжении всего дела, если не изменена последующим законодательством.",,,,calculators.rates.rates-are-updated-annually-by
42,calculators.rates,citation,"The maximum weekly workers' compensation rate in New York State is $1,281.50 for injuries occurring on or after July 1, 2026, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","Максимальная еженедельная ставка компенсации работникам в штате Нью-Йорк составляет $1,281.50 для травм, произошедших 1 июля 2026 г. или позднее, согласно WCB Subject No. 046-1805. Для дат травм в период с 1 июля 2025 г. по 30 июня 2026 г. максимум составляет $1,222.42.",,,,calculators.rates.the-maximum-weekly-workers-compensation
43,calculators.rates,citation,"Under WCL §15(6), the maximum weekly benefit equals two-thirds of the New York State Average Weekly Wage (NYSAWW). The NYSAWW — defined in WCL §2(16) — is the average weekly wage of all workers covered by New York unemployment insurance for the previous calendar year, calculated by the NYS Department of Labor and reported to the Superintendent of Financial Services by March 31 each year.","Согласно WCL §15(6), максимальная еженедельная выплата равна двум третям средней недельной заработной платы штата Нью-Йорк (New York State Average Weekly Wage, NYSAWW). NYSAWW — определённая в WCL §2(16) — это средняя недельная заработная плата всех работников, охваченных страхованием по безработице Нью-Йорка, за предыдущий календарный год, рассчитываемая Департаментом труда штата Нью-Йорк и предоставляемая Суперинтенданту финансовых услуг к 31 марта каждого года.",,,,calculators.rates.under-wcl-15-6-the
44,calculators.slu,citation,"Attorney Fee: Under WCL §24, attorneys are typically awarded 15% of the moving (new money) portion of any SLU award. This calculator shows the full breakdown: total value, prior deduction, moving amount, attorney fee (15%), and net to claimant.","Гонорар адвоката: Согласно WCL §24, адвокатам обычно присуждается 15% от суммы к перечислению (новых денег) любой компенсации SLU. Этот калькулятор показывает полную разбивку: общую сумму, вычет предыдущих выплат, сумму к перечислению, гонорар адвоката (15%) и чистую сумму для заявителя.",,,,calculators.slu.attorney-fee-under-wcl-24
45,calculators.slu,citation,"Calculate Schedule Loss of Use benefits for extremity injuries under New York Workers' Compensation Law §15(3). Includes prior award deductions, attorney fee, and net to claimant.","Рассчитайте выплаты по утрате функции конечности при травмах конечностей согласно Закону штата Нью-Йорк о компенсации работникам §15(3). Включает вычеты предыдущих выплат, гонорар адвоката и чистую сумму для заявителя.",,,,calculators.slu.calculate-schedule-loss-of-use
46,calculators.slu,eligibility citation,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. SLU calculations are based on current New York State Workers' Compensation Law §15(3) and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board and may vary based on medical evidence, hearing decisions, and specific case circumstances. Consult a qualified workers' compensation attorney for guidance on your specific case.","Отказ от ответственности: Этот калькулятор предоставляется исключительно в информационных целях и не является юридической консультацией. Расчёты SLU основаны на действующем Законе штата Нью-Йорк о компенсации работникам §15(3) и правилах Департамента финансовых услуг. Фактические компенсации определяются Комиссией по компенсации работникам (Workers' Compensation Board) и могут варьироваться в зависимости от медицинских доказательств, решений слушаний и конкретных обстоятельств дела. Проконсультируйтесь с квалифицированным адвокатом по компенсации работникам для получения рекомендаций по Вашему конкретному делу.",,,,calculators.slu.disclaimer-this-calculator-is-provided
47,calculators.slu,citation,Generate a WCB fee application pre-filled with these results.,"Сформируйте заявление на оплату услуг WCB, предзаполненное этими результатами.",,,,calculators.slu.generate-a-wcb-fee-application
48,calculators.slu,citation,"An SLU award is a statutory workers' compensation award under WCL §15(3) that compensates permanent loss of use of an extremity, vision, or hearing. The law assigns each body part a maximum number of weeks; your award equals your percentage loss of use multiplied by those weeks, multiplied by your weekly rate.","Компенсация SLU — это установленная законом компенсация по делу о компенсации работникам согласно WCL §15(3), которая компенсирует постоянную утрату функции конечности, зрения или слуха. Закон устанавливает для каждой части тела максимальное количество недель; Ваша компенсация равна проценту утраты функции, умноженному на эти недели, умноженному на Вашу еженедельную ставку.",,,,calculators.slu.jsonld.an-slu-award-is-a
49,calculators.slu,citation,"Free NYS Schedule Loss of Use (SLU) calculator under WCL §15(3). Includes prior award deductions, attorney fee, and net to claimant.","Бесплатный калькулятор утраты функции конечности (SLU) штата Нью-Йорк согласно WCL §15(3). Включает вычеты предыдущих выплат, гонорар адвоката и чистую сумму для заявителя.",,,,calculators.slu.jsonld.free-nys-schedule-loss-of
50,calculators.slu,waiver citation,"Many injured workers call their SLU award a settlement, and the schedule of weeks by body part is often searched for as a settlement chart. Strictly, an SLU award is a statutory award driven by your percentage loss of use — different from a Section 32 settlement, which is a negotiated lump sum that closes the case.","Многие травмированные работники называют свою компенсацию SLU урегулированием, а перечень недель по частям тела часто ищут как «таблицу урегулирования». Строго говоря, компенсация SLU — это установленная законом компенсация, основанная на Вашем проценте утраты функции — в отличие от урегулирования по Section 32, которое представляет собой согласованную единовременную выплату, закрывающую дело.",,,,calculators.slu.jsonld.many-injured-workers-call-their
51,calculators.slu,eligibility,Which injuries qualify for SLU instead of LWEC?,Какие травмы дают право на SLU вместо LWEC?,,,,calculators.slu.jsonld.which-injuries-qualify-for-slu
52,calculators.slu,citation,"Many injured workers think of the SLU award as their ""settlement"" — if you've been searching for a NYS workers' comp settlement chart for an arm, hand, leg, or foot injury, the §15(3) schedule below is that chart, and this calculator turns it into a dollar estimate of your SLU settlement value.","Многие травмированные работники считают компенсацию SLU своим «урегулированием» — если Вы искали таблицу урегулирования по компенсации работникам штата Нью-Йорк для травмы руки, кисти, ноги или стопы, перечень §15(3) ниже и есть эта таблица, а этот калькулятор превращает её в долларовую оценку стоимости Вашего урегулирования SLU.",,,,calculators.slu.many-injured-workers-think-of
53,calculators.slu,citation,"PHP = Prior weeks paid at the temporary total (healing) rate, which may be added to the SLU calculation depending on specific circumstances. This WCL §15(3) schedule is what many people mean by the ""NYS workers' comp settlement chart"" for schedule injuries.","PHP = ранее оплаченные недели по ставке временной полной нетрудоспособности (период заживления), которые могут быть добавлены к расчёту SLU в зависимости от конкретных обстоятельств. Этот перечень WCL §15(3) — то, что многие имеют в виду под «таблицей урегулирования по компенсации работникам штата Нью-Йорк» для травм по перечню.",,,,calculators.slu.php-prior-weeks-paid-at
54,calculators.slu,citation,"Schedule Loss of Use (SLU) is a fixed benefit available to injured workers in New York State under Workers' Compensation Law §15(3). Unlike permanent partial disability benefits, SLU provides a predetermined number of weeks of benefits based on the specific body part injured and the degree of permanent loss of use.","Утрата функции конечности (Schedule Loss of Use, SLU) — это фиксированная выплата, доступная травмированным работникам в штате Нью-Йорк согласно Закону о компенсации работникам §15(3). В отличие от выплат по постоянной частичной нетрудоспособности, SLU предоставляет заранее определённое количество недель выплат на основе конкретной травмированной части тела и степени постоянной утраты функции.",,,,calculators.slu.schedule-loss-of-use-slu
55,calculators.slu-permanency-awards-under-wcl,citation,SLU permanency awards under WCL §15(3) for every body part. Includes the 2024 Permanency Guidelines update and award calculation by AWW × loss % × statutory weeks.,Постоянные компенсации SLU согласно WCL §15(3) для каждой части тела. Включает обновление Руководства по постоянной нетрудоспособности 2024 года и расчёт компенсации по формуле AWW × % утраты × установленные законом недели.,,,,calculators.slu-permanency-awards-under-wcl
56,coming-soon,citation,"GPS detects when you travel to treatment. Automatically logs date, origin, destination, and round-trip mileage. Auto-fills your C-257 Travel Reimbursement form — print and submit.","GPS определяет, когда Вы едете на лечение. Автоматически регистрирует дату, место отправления, назначения и пробег туда и обратно. Автоматически заполняет Вашу форму возмещения транспортных расходов C-257 — распечатайте и подайте.",,,,coming-soon.gps-detects-when-you-travel
57,connect-with-attorney,filing,"Submit your case details and we'll connect you with a licensed NYS workers' compensation attorney. It's free, simple, and transparent.","Укажите детали Вашего дела, и мы свяжем Вас с лицензированным адвокатом по компенсации работникам штата Нью-Йорк. Это бесплатно, просто и прозрачно.",,,,connect-with-attorney.submit-your-case-details-and
58,connect-with-attorney,filing,"Submit your county, injury type, and case stage. No account needed. Your information stays private and is only shared with one participating attorney at a time.","Укажите Ваш округ, тип травмы и стадию дела. Учётная запись не требуется. Ваша информация остаётся конфиденциальной и передаётся только одному участвующему адвокату за раз.",,,,connect-with-attorney.submit-your-county-injury-type
59,disclaimer,eligibility,"Inclusion of any attorney in The Comp Desk's Find an Attorney directory is not an endorsement, recommendation, or certification of that attorney's qualifications or services.","Включение любого адвоката в справочник «Найти адвоката» The Comp Desk не является одобрением, рекомендацией или сертификацией квалификации или услуг этого адвоката.",,,,disclaimer.inclusion-of-any-attorney-in
60,disclaimer,eligibility,"The content, calculators, guides, and tools available on The Comp Desk (thecompdesk.com) are provided for general informational purposes only. Nothing on this site constitutes legal advice, legal opinion, or a substitute for consultation with a qualified attorney licensed in your jurisdiction.","Контент, калькуляторы, руководства и инструменты, доступные на The Comp Desk (thecompdesk.com), предоставляются исключительно в общих информационных целях. Ничто на этом сайте не является юридической консультацией, юридическим заключением или заменой консультации с квалифицированным адвокатом, лицензированным в Вашей юрисдикции.",,,,disclaimer.the-content-calculators-guides-and
61,legal.privacy,obligation filing,"If a data breach affecting your personal information occurs, we will notify affected users and applicable authorities as required by law.","Если произойдёт утечка данных, затрагивающая Вашу личную информацию, мы уведомим затронутых пользователей и соответствующие органы власти, как того требует закон.",,,,legal.privacy.if-a-data-breach-affecting
