#,page,category,english_source,translation_zh-Hans,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,针对颈椎和腰椎神经根 SLU 的 2012 年损伤指南评分系统（§S11.4–S11.7）。适合 IME 使用的图表，每项结果均附带引用依据。,,,,calculators.2012-impairment-guidelines-point-system
12,calculators.aww,citation,Earnings Work History (§14 Multiplier),收入与工作历史（§14 倍数法）,,,,calculators.aww.earnings-work-history-14-multiplier
13,calculators.aww,citation,"Free NYS Average Weekly Wage (AWW) calculator under WCL §14. Statutory methods: 52-week divisor, 200/260/300 multiplier, straight divisor.",纽约州平均周工资（AWW）免费计算器，依据 WCL §14。法定方法包括：52 周除数法、200/260/300 倍数法、直接除数法。,,,,calculators.aww.jsonld.free-nys-average-weekly-wage
14,calculators.aww,citation,Which WCL §14 method applies to me?,哪种 WCL §14 计算方法适用于我？,,,,calculators.aww.jsonld.which-wcl-14-method-applies
15,calculators.aww,citation,Yes — AWW is based on gross earnings including overtime. Wages from concurrent employment (a second job) may also be added under WCL §14(6) when the injury disables you from both jobs.,是的 — AWW 是根据包含加班费在内的总收入计算的。如果受伤导致您无法从事两份工作，依据 WCL §14(6)，双重雇佣（第二份工作）的工资也可以计入。,,,,calculators.aww.jsonld.yes-aww-is-based-on
16,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks, SLU awards, LWEC classifications — is computed from two-thirds of it.",您的 AWW 是根据 WCL §14，将受伤前 52 周内的总收入折算成的每周数字。您案件中几乎所有的福利 — 每周支票、SLU 赔偿金、LWEC 分类 — 都是以其三分之二为基础计算的。,,,,calculators.aww.jsonld.your-aww-is-your-gross
17,calculators.aww,citation,"Straight Divisor: AWW = Total Earnings ÷ Weeks Worked. Used by the Board when the §14 multiplier methods don't yield a fair result, or for irregular/seasonal workers, new hires, and part-year employment.",直接除数法：AWW = 总收入 ÷ 工作周数。当 §14 倍数法无法得出公平结果时，或适用于工作不规律/季节性工人、新员工和非全年雇佣情况时，由委员会采用此方法。,,,,calculators.aww.straight-divisor-aww-total-earnings
18,calculators.aww,citation,WCL §14 — How AWW Is Calculated,WCL §14 — AWW 如何计算,,,,calculators.aww.wcl-14-how-aww-is
19,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks capped at the statutory maximum rate, Schedule Loss of Use (SLU) awards, and LWEC classifications — is computed from two-thirds of it.",您的 AWW 是根据 WCL §14，将受伤前 52 周内的总收入折算成的每周数字。您案件中几乎所有的福利 — 以法定最高费率为上限的每周支票、肢体功能丧失赔偿（SLU）和LWEC 分类 — 都是以其三分之二为基础计算的。,,,,calculators.aww.your-aww-is-your-gross
20,calculators.benefit-rate,citation,Press the Look Up Rates button. The tool instantly returns the applicable statutory weekly maximum and minimum benefit rates under WCL §25(3).,"点击""查询费率""按钮。本工具将立即返回依据 WCL §25(3) 适用的法定每周最高和最低赔偿费率。",,,,calculators.benefit-rate.jsonld.press-the-look-up-rates
21,calculators.benefit-rate,eligibility,Talk to a NY workers' comp attorney. Many offer free consultations and work on contingency — you pay nothing unless you win.,与纽约州工伤赔偿律师谈谈。许多律师提供免费咨询，并按胜诉收费 — 除非您胜诉，否则无需支付任何费用。,,,,calculators.benefit-rate.talk-to-a-ny-workers
22,calculators.calculate-your-aww-under-wcl,citation,"Calculate your AWW under WCL §14 and the 2/3 comp rate. Multi-employer, concurrent, and seasonal scenarios. Outputs the indemnity rate with citation.",依据 WCL §14 计算您的 AWW 和 2/3 赔偿费率。支持多雇主、双重雇佣和季节性工作场景。输出带引用依据的赔偿费率。,,,,calculators.calculate-your-aww-under-wcl
23,calculators.ccp-award,citation,Attorney Fee (WCL §24): The fee on the award equals 15% of the moving (new money) amount. The fee on the CCP is 1/3 of the CCP dollar amount. Both are paid from claimant's award.,律师费（WCL §24）：赔偿金律师费等于新增金额（新增款项）的 15%。CCP 律师费为 CCP 金额的 1/3。两者均从索赔人的赔偿金中支付。,,,,calculators.ccp-award.attorney-fee-wcl-24-the
24,calculators.ccp-award,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. Award calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board based on the specific record, medical evidence, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.",免责声明：本计算器仅供参考，不构成法律建议。赔偿金的计算依据现行的纽约州工伤赔偿法及金融服务部的相关规定。实际赔偿金由工伤赔偿委员会（Workers' Compensation Board）根据具体记录、医疗证据和听证结果确定。如需针对您具体案件的指导，请咨询合格的工伤赔偿律师。,,,,calculators.ccp-award.disclaimer-this-calculator-is-provided
25,calculators.ccp-award,citation,Generate a WCB fee application pre-filled with these award figures.,生成预填这些赔偿金数据的 WCB 费用申请。,,,,calculators.ccp-award.generate-a-wcb-fee-application
26,calculators.ccp-award,citation,Generate WCB fee application (Pro feature),生成 WCB 费用申请（Pro 功能）,,,,calculators.ccp-award.generate-wcb-fee-application-pro.label
27,calculators.ccp-award,citation,"Attorney fees on accrued awards are commonly 15% of the accrued amount, subject to Workers' Compensation Board approval under WCL §24. The calculator shows the fee and the net to claimant.",累积赔偿金的律师费通常为累积金额的 15%，须经工伤赔偿委员会（Workers' Compensation Board）依据 WCL §24 批准。本计算器会显示律师费和索赔人的净得金额。,,,,calculators.ccp-award.jsonld.attorney-fees-on-accrued-awards
28,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24. This calculator shows the full fee and net-to-claimant breakdown.",律师通常获得 15 周乘以每周分类费率的金额，该金额从赔偿金中扣除，并须经工伤赔偿委员会（Workers' Compensation Board）依据 WCL §24 批准。本计算器会显示完整的律师费和索赔人净得明细。,,,,calculators.lwec.attorneys-are-typically-awarded-15
29,calculators.lwec,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. LWEC calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. The classification percentage is determined by the Workers' Compensation Board and may vary based on medical evidence, vocational evaluation, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.",免责声明：本计算器仅供参考，不构成法律建议。LWEC 的计算依据现行的纽约州工伤赔偿法及金融服务部的相关规定。分类百分比由工伤赔偿委员会（Workers' Compensation Board）确定，可能因医疗证据、职业评估和听证结果而有所不同。如需针对您具体案件的指导，请咨询合格的工伤赔偿律师。,,,,calculators.lwec.disclaimer-this-calculator-is-provided
30,calculators.lwec,citation,How LWEC Is Calculated (WCL §15(3)(w)),LWEC 如何计算（WCL §15(3)(w)）,,,,calculators.lwec.how-lwec-is-calculated-wcl
31,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24.",律师通常获得 15 周乘以每周分类费率的金额，该金额从赔偿金中扣除，并须经工伤赔偿委员会（Workers' Compensation Board）依据 WCL §24 批准。,,,,calculators.lwec.jsonld.attorneys-are-typically-awarded-15
32,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.",不是。肢体功能丧失赔偿（Schedule Loss of Use，SLU）依据 WCL §15(3)，针对肢体的永久性功能丧失支付固定周数的赔偿金。LWEC 则针对非表定永久性伤害 — 脊椎、头部和全身性疾病 — 在有上限的时长内支付每周赔偿金。,,,,calculators.lwec.jsonld.no-a-schedule-loss-of
33,calculators.lwec,citation,WCL §15(3)(w) caps benefit weeks by LWEC percentage — from 225 weeks at 15% or less up to 525 weeks at over 95%. Workers found permanently totally disabled receive lifetime benefits.,WCL §15(3)(w) 根据 LWEC 百分比设定赔偿周数上限 — 从 15% 或以下的 225 周，到超过 95% 的 525 周。被认定为永久完全丧失劳动能力的工人可获得终身赔偿。,,,,calculators.lwec.jsonld.wcl-15-3-w-caps
34,calculators.lwec,citation,"New York permanency awards come in two forms. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity — arm, hand, leg, foot, fingers, vision, or hearing — under WCL §15(3), even if you're back at work at full pay. LWEC covers non-schedule permanent injuries (spine, head, systemic conditions) with weekly benefits paid over a capped duration. A case generally resolves under one framework or the other for a given injury.",纽约州的永久伤残赔偿分为两种形式。肢体功能丧失赔偿（Schedule Loss of Use，SLU）依据 WCL §15(3)，针对肢体（手臂、手、腿、脚、手指、视力或听力）的永久性功能丧失支付固定周数的赔偿金，即使您已全薪返回工作。LWEC 则针对非表定永久性伤害（脊椎、头部、全身性疾病），在有上限的时长内支付每周赔偿金。对于同一项伤害，案件通常只会按其中一种框架处理。,,,,calculators.lwec.new-york-permanency-awards-come
35,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.",不是。肢体功能丧失赔偿（SLU）依据 WCL §15(3)，针对肢体的永久性功能丧失支付固定周数的赔偿金。LWEC 则针对非表定永久性伤害 — 脊椎、头部和全身性疾病 — 在有上限的时长内支付每周赔偿金。,,,,calculators.lwec.no-a-schedule-loss-of
36,calculators.lwec,citation,The duration is capped by WCL §15(3)(w): the LWEC percentage falls into a bracket that sets the maximum weeks of benefits — from 225 weeks at 15% or less up to 525 weeks above 95%. Workers classified with a permanent total disability receive lifetime benefits.,赔偿时长由 WCL §15(3)(w) 设定上限：LWEC 百分比对应一个档位，该档位确定赔偿金的最高周数 — 从 15% 或以下的 225 周，到超过 95% 的 525 周。被评定为永久完全丧失劳动能力的工人可获得终身赔偿。,,,,calculators.lwec.the-duration-is-capped-by
37,calculators.radiculopathy,obligation eligibility,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. It implements the point system from the 2012 NYS Impairment Guidelines (Tables S11.4–S11.7). The severity ranking output must be used with Tables 11.1 or 11.2 to determine the final Medical Impairment Class. Actual findings are determined by the Workers' Compensation Board based on all medical evidence. Consult a qualified workers' compensation attorney for guidance on your specific case.,免责声明：本计算器仅供参考，不构成法律建议。它实现了 2012 年纽约州损伤指南（表 S11.4–S11.7）中的评分系统。严重程度评级结果必须配合表 11.1 或 11.2 使用，以确定最终的医疗损伤等级。实际认定由工伤赔偿委员会（Workers' Compensation Board）根据全部医疗证据作出。如需针对您具体案件的指导，请咨询合格的工伤赔偿律师。,,,,calculators.radiculopathy.disclaimer-this-calculator-is-provided
38,calculators.rates,eligibility,"Disclaimer: This rate lookup is provided for informational purposes only and does not constitute legal advice. Rates shown are based on New York Department of Financial Services announcements and are accurate as of the dates shown. For the most current rate information, consult the official DFS website or a qualified workers' compensation attorney.",免责声明：本费率查询仅供参考，不构成法律建议。所示费率基于纽约州金融服务部的公告，并在所示日期为准确数据。如需最新费率信息，请查阅 DFS 官方网站或咨询合格的工伤赔偿律师。,,,,calculators.rates.disclaimer-this-rate-lookup-is
39,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","对于 2026 年 7 月 1 日及以后发生的受伤，每周最高赔偿费率为 $1,281.50，依据 WCB Subject No. 046-1805。对于 2025 年 7 月 1 日至 2026 年 6 月 30 日之间的受伤日期，最高额为 $1,222.42。",,,,calculators.rates.for-injuries-on-or-after
40,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate in New York is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","对于 2026 年 7 月 1 日及以后发生的受伤，纽约州每周最高赔偿费率为 $1,281.50，依据 WCB Subject No. 046-1805。对于 2025 年 7 月 1 日至 2026 年 6 月 30 日之间的受伤日期，最高额为 $1,222.42。",,,,calculators.rates.jsonld.for-injuries-on-or-after
41,calculators.rates,eligibility,"Rates are updated annually by the New York Department of Financial Services. The rate effective on the date of injury applies throughout the case, unless modified by subsequent legislation.",费率由纽约州金融服务部每年更新。受伤日期生效的费率适用于案件全程，除非后续立法对其进行修改。,,,,calculators.rates.rates-are-updated-annually-by
42,calculators.rates,citation,"The maximum weekly workers' compensation rate in New York State is $1,281.50 for injuries occurring on or after July 1, 2026, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","纽约州每周最高工伤赔偿费率为 $1,281.50，适用于 2026 年 7 月 1 日及以后发生的受伤，依据 WCB Subject No. 046-1805。对于 2025 年 7 月 1 日至 2026 年 6 月 30 日之间的受伤日期，最高额为 $1,222.42。",,,,calculators.rates.the-maximum-weekly-workers-compensation
43,calculators.rates,citation,"Under WCL §15(6), the maximum weekly benefit equals two-thirds of the New York State Average Weekly Wage (NYSAWW). The NYSAWW — defined in WCL §2(16) — is the average weekly wage of all workers covered by New York unemployment insurance for the previous calendar year, calculated by the NYS Department of Labor and reported to the Superintendent of Financial Services by March 31 each year.",依据 WCL §15(6)，每周最高赔偿金等于纽约州平均周工资（New York State Average Weekly Wage，NYSAWW）的三分之二。NYSAWW — 定义于 WCL §2(16) — 是前一日历年度所有受纽约州失业保险覆盖的工人的平均周工资，由纽约州劳工部计算，并须于每年 3 月 31 日前报送金融服务监督官。,,,,calculators.rates.under-wcl-15-6-the
44,calculators.slu,citation,"Attorney Fee: Under WCL §24, attorneys are typically awarded 15% of the moving (new money) portion of any SLU award. This calculator shows the full breakdown: total value, prior deduction, moving amount, attorney fee (15%), and net to claimant.",律师费：依据 WCL §24，律师通常获得任何 SLU 赔偿金中新增金额（新增款项）部分的 15%。本计算器会显示完整明细：总价值、先前扣除、新增金额、律师费（15%）和索赔人净得金额。,,,,calculators.slu.attorney-fee-under-wcl-24
45,calculators.slu,citation,"Calculate Schedule Loss of Use benefits for extremity injuries under New York Workers' Compensation Law §15(3). Includes prior award deductions, attorney fee, and net to claimant.",根据《纽约州工伤赔偿法》§15(3) 计算肢体伤害的肢体功能丧失赔偿金。包含先前赔偿扣除、律师费和索赔人净得金额。,,,,calculators.slu.calculate-schedule-loss-of-use
46,calculators.slu,eligibility citation,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. SLU calculations are based on current New York State Workers' Compensation Law §15(3) and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board and may vary based on medical evidence, hearing decisions, and specific case circumstances. Consult a qualified workers' compensation attorney for guidance on your specific case.",免责声明：本计算器仅供参考，不构成法律建议。SLU 的计算依据现行的《纽约州工伤赔偿法》§15(3) 及金融服务部的相关规定。实际赔偿金由工伤赔偿委员会（Workers' Compensation Board）确定，并可能因医疗证据、听证裁决和具体案情而有所不同。如需针对您具体案件的指导，请咨询合格的工伤赔偿律师。,,,,calculators.slu.disclaimer-this-calculator-is-provided
47,calculators.slu,citation,Generate a WCB fee application pre-filled with these results.,生成预填这些结果的 WCB 费用申请。,,,,calculators.slu.generate-a-wcb-fee-application
48,calculators.slu,citation,"An SLU award is a statutory workers' compensation award under WCL §15(3) that compensates permanent loss of use of an extremity, vision, or hearing. The law assigns each body part a maximum number of weeks; your award equals your percentage loss of use multiplied by those weeks, multiplied by your weekly rate.",SLU 赔偿金是依据 WCL §15(3) 的法定工伤赔偿金，用于赔偿肢体、视力或听力的永久性功能丧失。法律为每个身体部位设定了最高周数；您的赔偿金等于您的功能丧失百分比乘以这些周数，再乘以您的每周费率。,,,,calculators.slu.jsonld.an-slu-award-is-a
49,calculators.slu,citation,"Free NYS Schedule Loss of Use (SLU) calculator under WCL §15(3). Includes prior award deductions, attorney fee, and net to claimant.",纽约州肢体功能丧失赔偿（SLU）免费计算器，依据 WCL §15(3)。包含先前赔偿扣除、律师费和索赔人净得金额。,,,,calculators.slu.jsonld.free-nys-schedule-loss-of
50,calculators.slu,waiver citation,"Many injured workers call their SLU award a settlement, and the schedule of weeks by body part is often searched for as a settlement chart. Strictly, an SLU award is a statutory award driven by your percentage loss of use — different from a Section 32 settlement, which is a negotiated lump sum that closes the case.","许多受伤工人将他们的 SLU 赔偿金称为""和解""，按身体部位划分的周数表也常被搜索为""和解表""。严格来说，SLU 赔偿金是由您的功能丧失百分比决定的法定赔偿金 — 不同于 Section 32 和解，后者是通过谈判达成的一次性总额和解，用以结案。",,,,calculators.slu.jsonld.many-injured-workers-call-their
51,calculators.slu,eligibility,Which injuries qualify for SLU instead of LWEC?,哪些伤害符合 SLU 而非 LWEC 的适用条件？,,,,calculators.slu.jsonld.which-injuries-qualify-for-slu
52,calculators.slu,citation,"Many injured workers think of the SLU award as their ""settlement"" — if you've been searching for a NYS workers' comp settlement chart for an arm, hand, leg, or foot injury, the §15(3) schedule below is that chart, and this calculator turns it into a dollar estimate of your SLU settlement value.","许多受伤工人将 SLU 赔偿金视为他们的""和解"" — 如果您一直在寻找纽约州手臂、手、腿或脚受伤的工伤赔偿和解表，下方的 §15(3) 表格就是那张表，本计算器会将其转化为您 SLU 和解价值的美元估算。",,,,calculators.slu.many-injured-workers-think-of
53,calculators.slu,citation,"PHP = Prior weeks paid at the temporary total (healing) rate, which may be added to the SLU calculation depending on specific circumstances. This WCL §15(3) schedule is what many people mean by the ""NYS workers' comp settlement chart"" for schedule injuries.","PHP = 按暂时完全丧失劳动能力（康复期）费率已支付的先前周数，根据具体情况可计入 SLU 计算。这份 WCL §15(3) 表格就是许多人所说的表定伤害""纽约州工伤赔偿和解表""。",,,,calculators.slu.php-prior-weeks-paid-at
54,calculators.slu,citation,"Schedule Loss of Use (SLU) is a fixed benefit available to injured workers in New York State under Workers' Compensation Law §15(3). Unlike permanent partial disability benefits, SLU provides a predetermined number of weeks of benefits based on the specific body part injured and the degree of permanent loss of use.",肢体功能丧失赔偿（Schedule Loss of Use，SLU）是纽约州依据《工伤赔偿法》§15(3) 为受伤工人提供的固定赔偿金。与永久部分丧失劳动能力赔偿不同，SLU 根据受伤的具体身体部位和永久性功能丧失程度，提供预先确定周数的赔偿金。,,,,calculators.slu.schedule-loss-of-use-slu
55,calculators.slu-permanency-awards-under-wcl,citation,SLU permanency awards under WCL §15(3) for every body part. Includes the 2024 Permanency Guidelines update and award calculation by AWW × loss % × statutory weeks.,依据 WCL §15(3) 计算每个身体部位的 SLU 永久伤残赔偿金。包含 2024 年永久伤残指南更新，以及 AWW × 丧失百分比 × 法定周数的赔偿金计算。,,,,calculators.slu-permanency-awards-under-wcl
56,coming-soon,citation,"GPS detects when you travel to treatment. Automatically logs date, origin, destination, and round-trip mileage. Auto-fills your C-257 Travel Reimbursement form — print and submit.",GPS 会检测您前往治疗的出行。自动记录日期、出发地、目的地和往返里程。自动填写您的 C-257 交通报销表 — 打印并提交即可。,,,,coming-soon.gps-detects-when-you-travel
57,connect-with-attorney,filing,"Submit your case details and we'll connect you with a licensed NYS workers' compensation attorney. It's free, simple, and transparent.",提交您的案件详情，我们将为您联系一位持牌纽约州工伤赔偿律师。免费、简单、透明。,,,,connect-with-attorney.submit-your-case-details-and
58,connect-with-attorney,filing,"Submit your county, injury type, and case stage. No account needed. Your information stays private and is only shared with one participating attorney at a time.",提交您所在的县、受伤类型和案件阶段。无需账户。您的信息将保密，且每次只会与一位参与网络的律师共享。,,,,connect-with-attorney.submit-your-county-injury-type
59,disclaimer,eligibility,"Inclusion of any attorney in The Comp Desk's Find an Attorney directory is not an endorsement, recommendation, or certification of that attorney's qualifications or services.","任何律师被列入 The Comp Desk 的""寻找律师""名录，均不构成对该律师资质或服务的认可、推荐或认证。",,,,disclaimer.inclusion-of-any-attorney-in
60,disclaimer,eligibility,"The content, calculators, guides, and tools available on The Comp Desk (thecompdesk.com) are provided for general informational purposes only. Nothing on this site constitutes legal advice, legal opinion, or a substitute for consultation with a qualified attorney licensed in your jurisdiction.",The Comp Desk（thecompdesk.com）上提供的内容、计算器、指南和工具仅供一般参考之用。本网站上的任何内容均不构成法律建议、法律意见，也不能替代与您所在司法辖区持牌合格律师的咨询。,,,,disclaimer.the-content-calculators-guides-and
61,legal.privacy,obligation filing,"If a data breach affecting your personal information occurs, we will notify affected users and applicable authorities as required by law.",如果发生影响您个人信息的数据泄露事件，我们将依据法律要求通知受影响的用户和相关主管机关。,,,,legal.privacy.if-a-data-breach-affecting
62,legal.privacy,filing,"Our calculators run entirely in your browser; the wages, dates, and other figures you enter are processed on your device and are not transmitted to or stored on our servers. Separately, if you submit a contact form, request an attorney referral, create an account, or opt in to IME or hearing reminders, we collect the information you choose to provide. Depending on what you do, this may include your name, email address, phone number, and details about your potential workers' compensation matter, so that we can respond to you, route your request to a participating attorney, or send the reminders you requested.",我们的计算器完全在您的浏览器中运行；您输入的工资、日期及其他数字均在您的设备上处理，不会传输或存储到我们的服务器上。另外，如果您提交联系表单、申请律师转介、创建账户，或选择接收 IME 或听证会提醒，我们会收集您选择提供的信息。根据您的具体操作，这可能包括您的姓名、电子邮箱、电话号码，以及您潜在工伤赔偿事项的详情，以便我们回复您、将您的请求分派给参与律师，或发送您所请求的提醒。,,,,legal.privacy.our-calculators-run-entirely-in
63,legal.privacy,eligibility,"This policy covers the thecompdesk.com website, our mobile app and browser extension, our workers' compensation calculators, our contact and attorney-referral forms, our reminder features, and registered attorney accounts. It does not cover the practices of independent attorneys to whom you may be referred, who maintain their own privacy practices and become responsible for your information once it is shared with them.",本政策涵盖 thecompdesk.com 网站、我们的移动应用和浏览器扩展程序、我们的工伤赔偿计算器、我们的联系表单和律师转介表单、我们的提醒功能，以及注册律师账户。本政策不涵盖您可能被转介给的独立律师的做法，这些律师维持自己独立的隐私实践，一旦您的信息被分享给他们，他们即对该信息负责。,,,,legal.privacy.this-policy-covers-the-thecompdesk
64,legal.privacy,obligation,"We may disclose information if required by law, subpoena, or other legal process, or where we believe disclosure is necessary to protect our rights, your safety, or the safety of others.",在法律、传票或其他法律程序要求的情况下，或者我们认为为保护我们的权利、您的安全或他人安全而有必要披露信息时，我们可能会披露信息。,,,,legal.privacy.we-may-disclose-information-if
65,legal.privacy,filing,"We may update this Privacy Policy from time to time. Changes will be posted to this page with an updated ""Last updated"" date. For material changes, we will make reasonable efforts to notify registered users by email. Continued use of the Services after changes take effect constitutes acceptance of the revised policy.","我们可能会不时更新本隐私政策。更新内容将发布在本页面，并附上更新后的""最后更新""日期。对于重大变更，我们将尽合理努力通过电子邮件通知注册用户。变更生效后继续使用本服务，即表示您接受修订后的政策。",,,,legal.privacy.we-may-update-this-privacy
66,legal.privacy,obligation citation,"We retain aggregate analytics data for up to 24 months. Account data is retained while your account is active. Road to Recovery questionnaire answers and checklist progress are retained while your account is active and are deleted when your account is deleted; the general, de-identified roadmap explanations described in Section 3.6 contain no personal information and may be retained. Information you submit through a referral or contact form is retained as long as needed to provide the service you requested and as required by law, after which it is deleted or de-identified.",我们最多保留汇总分析数据 24 个月。账户数据在您的账户处于活跃状态期间予以保留。Road to Recovery 问卷回答和清单进度在您账户处于活跃状态期间予以保留，并在账户删除时一并删除；第 3.6 节所述的通用、去标识化路线图说明不含个人信息，可能会被保留。您通过转介或联系表单提交的信息，将在提供您所请求服务所需的期限内以及法律要求的期限内予以保留，此后将被删除或去标识化。,,,,legal.privacy.we-retain-aggregate-analytics-data
67,legal.privacy,deadline,You may request access to or correction of the personal information we hold about you by emailing privacy@thecompdesk.com. We will respond within 30 days.,您可以通过发送邮件至 privacy@thecompdesk.com 申请访问或更正我们持有的关于您的个人信息。我们将在 30 天内回复。,,,,legal.privacy.you-may-request-access-to
