#,page,category,english_source,translation_es,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
11,calculators.aww,eligibility citation,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. AWW calculations are based on current New York State Workers' Compensation Law §14 and Department of Financial Services regulations. The accuracy of results depends on the wages entered. Disputes over AWW may require detailed wage documentation and adjudication by the Workers' Compensation Board. Consult a qualified workers' compensation attorney for guidance on your specific case.,Aviso legal: Esta calculadora se ofrece únicamente con fines informativos y no constituye asesoría legal. Los cálculos de AWW se basan en la Ley de Compensación para Trabajadores del Estado de Nueva York §14 vigente y en las regulaciones del Departamento de Servicios Financieros. La exactitud de los resultados depende de los salarios ingresados. Las disputas sobre el AWW pueden requerir documentación salarial detallada y resolución por parte de la Junta de Compensación para Trabajadores (Workers' Compensation Board). Consulte a un abogado calificado en compensación para trabajadores para obtener orientación sobre su caso específico.,,,,calculators.aww.disclaimer-this-calculator-is-provided
12,calculators.aww,citation,Earnings Work History (§14 Multiplier),Ingresos e Historial Laboral (Multiplicador §14),,,,calculators.aww.earnings-work-history-14-multiplier
13,calculators.aww,citation,"Free NYS Average Weekly Wage (AWW) calculator under WCL §14. Statutory methods: 52-week divisor, 200/260/300 multiplier, straight divisor.","Calculadora gratuita del salario semanal promedio (Average Weekly Wage, AWW) de NYS según WCL §14. Métodos legales: divisor de 52 semanas, multiplicador 200/260/300, divisor directo.",,,,calculators.aww.jsonld.free-nys-average-weekly-wage
14,calculators.aww,citation,Which WCL §14 method applies to me?,¿Qué método de WCL §14 se aplica en mi caso?,,,,calculators.aww.jsonld.which-wcl-14-method-applies
15,calculators.aww,citation,Yes — AWW is based on gross earnings including overtime. Wages from concurrent employment (a second job) may also be added under WCL §14(6) when the injury disables you from both jobs.,"Sí: el AWW se basa en los ingresos brutos, incluidas las horas extra. Los salarios de un empleo simultáneo (un segundo trabajo) también pueden sumarse según WCL §14(6) cuando la lesión lo incapacita para ambos empleos.",,,,calculators.aww.jsonld.yes-aww-is-based-on
16,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks, SLU awards, LWEC classifications — is computed from two-thirds of it.","Su AWW son sus ingresos brutos de las 52 semanas anteriores a la lesión, convertidos en una cifra semanal según WCL §14. Casi todos los beneficios de su caso —los cheques semanales, los pagos por SLU, las clasificaciones de LWEC— se calculan a partir de dos tercios de esa cifra.",,,,calculators.aww.jsonld.your-aww-is-your-gross
17,calculators.aww,citation,"Straight Divisor: AWW = Total Earnings ÷ Weeks Worked. Used by the Board when the §14 multiplier methods don't yield a fair result, or for irregular/seasonal workers, new hires, and part-year employment.","Divisor Directo: AWW = Ingresos Totales ÷ Semanas Trabajadas. La Junta lo usa cuando los métodos del multiplicador §14 no producen un resultado justo, o para trabajadores irregulares/estacionales, empleados nuevos y empleo de temporada parcial.",,,,calculators.aww.straight-divisor-aww-total-earnings
18,calculators.aww,citation,WCL §14 — How AWW Is Calculated,WCL §14 — Cómo se Calcula el AWW,,,,calculators.aww.wcl-14-how-aww-is
19,calculators.aww,citation,"Your AWW is your gross earnings for the 52 weeks before the injury converted to a weekly figure under WCL §14. Nearly every benefit in your case — weekly checks capped at the statutory maximum rate, Schedule Loss of Use (SLU) awards, and LWEC classifications — is computed from two-thirds of it.","Su AWW es su ingreso bruto de las 52 semanas anteriores a la lesión, convertido a una cifra semanal según el WCL §14. Casi todos los beneficios de su caso — cheques semanales limitados a la tasa máxima legal, las indemnizaciones por Pérdida permanente del uso de un miembro (Schedule Loss of Use, SLU), y las clasificaciones de LWEC — se calculan a partir de dos tercios de este monto.",,,,calculators.aww.your-aww-is-your-gross
20,calculators.benefit-rate,citation,Press the Look Up Rates button. The tool instantly returns the applicable statutory weekly maximum and minimum benefit rates under WCL §25(3).,Presione el botón Consultar Tasas. La herramienta devuelve al instante las tasas máximas y mínimas legales de beneficios semanales aplicables según el WCL §25(3).,,,,calculators.benefit-rate.jsonld.press-the-look-up-rates
21,calculators.benefit-rate,eligibility,Talk to a NY workers' comp attorney. Many offer free consultations and work on contingency — you pay nothing unless you win.,Hable con un abogado de compensación laboral de NY. Muchos ofrecen consultas gratuitas y trabajan por contingencia: usted no paga nada a menos que gane.,,,,calculators.benefit-rate.talk-to-a-ny-workers
22,calculators.calculate-your-aww-under-wcl,citation,"Calculate your AWW under WCL §14 and the 2/3 comp rate. Multi-employer, concurrent, and seasonal scenarios. Outputs the indemnity rate with citation.","Calcule su AWW conforme a WCL §14 y la tasa de compensación de 2/3. Escenarios de múltiples empleadores, empleo concurrente y estacional. Genera la tasa de indemnización con la cita legal.",,,,calculators.calculate-your-aww-under-wcl
23,calculators.ccp-award,citation,Attorney Fee (WCL §24): The fee on the award equals 15% of the moving (new money) amount. The fee on the CCP is 1/3 of the CCP dollar amount. Both are paid from claimant's award.,Honorario del Abogado (WCL §24): El honorario sobre la indemnización equivale al 15% del monto nuevo (dinero adicional). El honorario sobre el CCP es 1/3 del monto en dólares del CCP. Ambos se pagan de la indemnización del reclamante.,,,,calculators.ccp-award.attorney-fee-wcl-24-the
24,calculators.ccp-award,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. Award calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board based on the specific record, medical evidence, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.","Aviso legal: Esta calculadora se ofrece únicamente con fines informativos y no constituye asesoría legal. Los cálculos de las indemnizaciones se basan en la ley vigente de compensación para trabajadores del estado de Nueva York y en las regulaciones del Department of Financial Services. Las indemnizaciones reales son determinadas por el Workers' Compensation Board según el expediente específico, la evidencia médica y los resultados de las audiencias. Consulte a un abogado calificado en compensación para trabajadores para obtener orientación sobre su caso específico.",,,,calculators.ccp-award.disclaimer-this-calculator-is-provided
25,calculators.ccp-award,citation,Generate a WCB fee application pre-filled with these award figures.,Genere una solicitud de honorarios de WCB prellenada con estas cifras de la indemnización.,,,,calculators.ccp-award.generate-a-wcb-fee-application
26,calculators.ccp-award,citation,Generate WCB fee application (Pro feature),Generar solicitud de honorarios de WCB (función Pro),,,,calculators.ccp-award.generate-wcb-fee-application-pro.label
27,calculators.ccp-award,citation,"Attorney fees on accrued awards are commonly 15% of the accrued amount, subject to Workers' Compensation Board approval under WCL §24. The calculator shows the fee and the net to claimant.","Los honorarios del abogado sobre los pagos acumulados suelen ser el 15% del monto acumulado, sujetos a la aprobación del Workers' Compensation Board conforme a WCL §24. La calculadora muestra el honorario y el monto neto para el reclamante.",,,,calculators.ccp-award.jsonld.attorney-fees-on-accrued-awards
28,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24. This calculator shows the full fee and net-to-claimant breakdown.","Por lo general, a los abogados se les otorgan 15 semanas multiplicadas por la tasa de clasificación semanal, que se deducen del pago y están sujetas a la aprobación del Workers' Compensation Board bajo WCL §24. Esta calculadora muestra el desglose completo del honorario y el monto neto para el reclamante.",,,,calculators.lwec.attorneys-are-typically-awarded-15
29,calculators.lwec,eligibility,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. LWEC calculations are based on current New York State workers' compensation law and Department of Financial Services regulations. The classification percentage is determined by the Workers' Compensation Board and may vary based on medical evidence, vocational evaluation, and hearing outcomes. Consult a qualified workers' compensation attorney for guidance on your specific case.","Aviso legal: Esta calculadora se ofrece únicamente con fines informativos y no constituye asesoría legal. Los cálculos de LWEC se basan en la ley vigente de compensación para trabajadores del estado de Nueva York y en las regulaciones del Department of Financial Services. El porcentaje de clasificación lo determina el Workers' Compensation Board y puede variar según la evidencia médica, la evaluación vocacional y los resultados de las audiencias. Consulte a un abogado calificado en compensación para trabajadores para obtener orientación sobre su caso específico.",,,,calculators.lwec.disclaimer-this-calculator-is-provided
30,calculators.lwec,citation,How LWEC Is Calculated (WCL §15(3)(w)),Cómo se Calcula LWEC (WCL §15(3)(w)),,,,calculators.lwec.how-lwec-is-calculated-wcl
31,calculators.lwec,citation,"Attorneys are typically awarded 15 weeks multiplied by the weekly classification rate, deducted from the award and subject to Workers' Compensation Board approval under WCL §24.","Por lo general, a los abogados se les otorgan 15 semanas multiplicadas por la tasa semanal de clasificación, deducidas del beneficio y sujetas a la aprobación de la Junta de Compensación Laboral (Workers' Compensation Board) según WCL §24.",,,,calculators.lwec.jsonld.attorneys-are-typically-awarded-15
32,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.","No. Un beneficio de pérdida permanente del uso de un miembro (Schedule Loss of Use, SLU) paga un número fijo de semanas por la pérdida permanente de uso de una extremidad según WCL §15(3). LWEC compensa lesiones permanentes no programadas — columna, cabeza y condiciones sistémicas — con beneficios semanales durante una duración limitada.",,,,calculators.lwec.jsonld.no-a-schedule-loss-of
33,calculators.lwec,citation,WCL §15(3)(w) caps benefit weeks by LWEC percentage — from 225 weeks at 15% or less up to 525 weeks at over 95%. Workers found permanently totally disabled receive lifetime benefits.,La WCL §15(3)(w) limita las semanas de beneficio según el porcentaje de LWEC — desde 225 semanas con 15% o menos hasta 525 semanas con más de 95%. Los trabajadores clasificados con incapacidad total permanente (PTD) reciben beneficios de por vida.,,,,calculators.lwec.jsonld.wcl-15-3-w-caps
34,calculators.lwec,citation,"New York permanency awards come in two forms. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity — arm, hand, leg, foot, fingers, vision, or hearing — under WCL §15(3), even if you're back at work at full pay. LWEC covers non-schedule permanent injuries (spine, head, systemic conditions) with weekly benefits paid over a capped duration. A case generally resolves under one framework or the other for a given injury.","Los pagos por incapacidad permanente en Nueva York vienen en dos formas. Un pago por Pérdida permanente del uso (SLU) paga un número fijo de semanas por la pérdida permanente del uso de una extremidad — brazo, mano, pierna, pie, dedos, visión u oído — bajo WCL §15(3), incluso si usted ya volvió a trabajar con salario completo. LWEC cubre lesiones permanentes no programadas (columna, cabeza, afecciones sistémicas) con beneficios semanales pagados durante una duración limitada. Un caso generalmente se resuelve bajo uno u otro marco para una lesión determinada.",,,,calculators.lwec.new-york-permanency-awards-come
35,calculators.lwec,citation,"No. A Schedule Loss of Use (SLU) award pays a fixed number of weeks for permanent loss of use of an extremity under WCL §15(3). LWEC compensates non-schedule permanent injuries — spine, head, and systemic conditions — with weekly benefits over a capped duration.","No. Un pago por Pérdida permanente del uso (SLU) paga un número fijo de semanas por la pérdida permanente del uso de una extremidad bajo WCL §15(3). LWEC compensa lesiones permanentes no programadas — columna, cabeza y afecciones sistémicas — con beneficios semanales durante una duración limitada.",,,,calculators.lwec.no-a-schedule-loss-of
36,calculators.lwec,citation,The duration is capped by WCL §15(3)(w): the LWEC percentage falls into a bracket that sets the maximum weeks of benefits — from 225 weeks at 15% or less up to 525 weeks above 95%. Workers classified with a permanent total disability receive lifetime benefits.,La duración está limitada por WCL §15(3)(w): el porcentaje de LWEC se ubica dentro de un rango que fija el máximo de semanas de beneficios — desde 225 semanas con 15% o menos hasta 525 semanas con más del 95%. Los trabajadores clasificados con incapacidad total permanente reciben beneficios de por vida.,,,,calculators.lwec.the-duration-is-capped-by
37,calculators.radiculopathy,obligation eligibility,Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. It implements the point system from the 2012 NYS Impairment Guidelines (Tables S11.4–S11.7). The severity ranking output must be used with Tables 11.1 or 11.2 to determine the final Medical Impairment Class. Actual findings are determined by the Workers' Compensation Board based on all medical evidence. Consult a qualified workers' compensation attorney for guidance on your specific case.,Aviso legal: Esta calculadora se ofrece únicamente con fines informativos y no constituye asesoría legal. Implementa el sistema de puntos de las Guías de Deterioro de NYS de 2012 (Tablas S11.4–S11.7). El resultado de la clasificación de gravedad debe usarse junto con las Tablas 11.1 o 11.2 para determinar la Clase de Impedimento Médico final. Los hallazgos reales son determinados por la Junta de Compensación Laboral (Workers' Compensation Board) con base en toda la evidencia médica. Consulte a un abogado de compensación laboral calificado para orientación sobre su caso específico.,,,,calculators.radiculopathy.disclaimer-this-calculator-is-provided
38,calculators.rates,eligibility,"Disclaimer: This rate lookup is provided for informational purposes only and does not constitute legal advice. Rates shown are based on New York Department of Financial Services announcements and are accurate as of the dates shown. For the most current rate information, consult the official DFS website or a qualified workers' compensation attorney.","Aviso legal: Esta consulta de tasas se ofrece únicamente con fines informativos y no constituye asesoría legal. Las tasas mostradas se basan en anuncios del Departamento de Servicios Financieros de Nueva York y son precisas a partir de las fechas indicadas. Para obtener la información de tasas más actualizada, consulte el sitio web oficial del DFS o a un abogado de compensación laboral calificado.",,,,calculators.rates.disclaimer-this-rate-lookup-is
39,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","Para lesiones ocurridas a partir del 1 de julio de 2026, la tasa semanal máxima de compensación es de $1,281.50, según WCB Subject No. 046-1805. Para fechas de lesión entre el 1 de julio de 2025 y el 30 de junio de 2026, el máximo es de $1,222.42.",,,,calculators.rates.for-injuries-on-or-after
40,calculators.rates,citation,"For injuries on or after July 1, 2026, the maximum weekly compensation rate in New York is $1,281.50, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","Para lesiones ocurridas a partir del 1 de julio de 2026, la tasa semanal máxima de compensación en Nueva York es de $1,281.50, según el WCB Subject No. 046-1805. Para fechas de lesión entre el 1 de julio de 2025 y el 30 de junio de 2026, el máximo es de $1,222.42.",,,,calculators.rates.jsonld.for-injuries-on-or-after
41,calculators.rates,eligibility,"Rates are updated annually by the New York Department of Financial Services. The rate effective on the date of injury applies throughout the case, unless modified by subsequent legislation.","Las tasas se actualizan anualmente por el Departamento de Servicios Financieros de Nueva York. La tasa vigente en la fecha de la lesión aplica durante todo el caso, salvo que sea modificada por legislación posterior.",,,,calculators.rates.rates-are-updated-annually-by
42,calculators.rates,citation,"The maximum weekly workers' compensation rate in New York State is $1,281.50 for injuries occurring on or after July 1, 2026, per WCB Subject No. 046-1805. For dates of injury between July 1, 2025 and June 30, 2026, the maximum is $1,222.42.","La tasa máxima semanal de compensación laboral en el estado de Nueva York es de $1,281.50 para lesiones ocurridas a partir del 1 de julio de 2026, según WCB Subject No. 046-1805. Para fechas de lesión entre el 1 de julio de 2025 y el 30 de junio de 2026, el máximo es de $1,222.42.",,,,calculators.rates.the-maximum-weekly-workers-compensation
43,calculators.rates,citation,"Under WCL §15(6), the maximum weekly benefit equals two-thirds of the New York State Average Weekly Wage (NYSAWW). The NYSAWW — defined in WCL §2(16) — is the average weekly wage of all workers covered by New York unemployment insurance for the previous calendar year, calculated by the NYS Department of Labor and reported to the Superintendent of Financial Services by March 31 each year.","Conforme a WCL §15(6), el beneficio semanal máximo equivale a dos tercios del Salario Semanal Promedio del Estado de Nueva York (New York State Average Weekly Wage, NYSAWW). El NYSAWW — definido en WCL §2(16) — es el salario semanal promedio de todos los trabajadores cubiertos por el seguro de desempleo de Nueva York durante el año calendario anterior, calculado por el Departamento de Trabajo de NYS y reportado al Superintendente de Servicios Financieros a más tardar el 31 de marzo de cada año.",,,,calculators.rates.under-wcl-15-6-the
44,calculators.slu,citation,"Attorney Fee: Under WCL §24, attorneys are typically awarded 15% of the moving (new money) portion of any SLU award. This calculator shows the full breakdown: total value, prior deduction, moving amount, attorney fee (15%), and net to claimant.","Honorarios del Abogado: Conforme a WCL §24, a los abogados normalmente se les otorga el 15% de la porción en movimiento (dinero nuevo) de cualquier compensación SLU. Esta calculadora muestra el desglose completo: valor total, deducción previa, monto en movimiento, honorarios del abogado (15%) y neto para el reclamante.",,,,calculators.slu.attorney-fee-under-wcl-24
45,calculators.slu,citation,"Calculate Schedule Loss of Use benefits for extremity injuries under New York Workers' Compensation Law §15(3). Includes prior award deductions, attorney fee, and net to claimant.","Calcule los beneficios de Pérdida permanente del uso para lesiones en extremidades conforme a la Ley de Compensación Laboral de Nueva York §15(3). Incluye deducciones por compensaciones previas, honorarios del abogado y neto para el reclamante.",,,,calculators.slu.calculate-schedule-loss-of-use
46,calculators.slu,eligibility citation,"Disclaimer: This calculator is provided for informational purposes only and does not constitute legal advice. SLU calculations are based on current New York State Workers' Compensation Law §15(3) and Department of Financial Services regulations. Actual awards are determined by the Workers' Compensation Board and may vary based on medical evidence, hearing decisions, and specific case circumstances. Consult a qualified workers' compensation attorney for guidance on your specific case.","Aviso legal: Esta calculadora se ofrece únicamente con fines informativos y no constituye asesoría legal. Los cálculos de SLU se basan en la Ley de Compensación Laboral del Estado de Nueva York §15(3) vigente y en las regulaciones del Departamento de Servicios Financieros. Las compensaciones reales son determinadas por la Junta de Compensación Laboral (Workers' Compensation Board) y pueden variar según la evidencia médica, las decisiones de audiencia y las circunstancias específicas del caso. Consulte a un abogado de compensación laboral calificado para orientación sobre su caso específico.",,,,calculators.slu.disclaimer-this-calculator-is-provided
47,calculators.slu,citation,Generate a WCB fee application pre-filled with these results.,"Genere una solicitud de honorarios de la WCB, prellenada con estos resultados.",,,,calculators.slu.generate-a-wcb-fee-application
48,calculators.slu,citation,"An SLU award is a statutory workers' compensation award under WCL §15(3) that compensates permanent loss of use of an extremity, vision, or hearing. The law assigns each body part a maximum number of weeks; your award equals your percentage loss of use multiplied by those weeks, multiplied by your weekly rate.","Una compensación SLU es una compensación legal de compensación laboral conforme a WCL §15(3) que indemniza la pérdida permanente de uso de una extremidad, la visión o la audición. La ley asigna a cada parte del cuerpo un número máximo de semanas; su compensación equivale a su porcentaje de pérdida de uso multiplicado por esas semanas, multiplicado por su tasa semanal.",,,,calculators.slu.jsonld.an-slu-award-is-a
49,calculators.slu,citation,"Free NYS Schedule Loss of Use (SLU) calculator under WCL §15(3). Includes prior award deductions, attorney fee, and net to claimant.","Calculadora gratuita de Pérdida permanente del uso de un miembro (Schedule Loss of Use, SLU) de NYS conforme a WCL §15(3). Incluye deducciones por compensaciones previas, honorarios del abogado y neto para el reclamante.",,,,calculators.slu.jsonld.free-nys-schedule-loss-of
50,calculators.slu,waiver citation,"Many injured workers call their SLU award a settlement, and the schedule of weeks by body part is often searched for as a settlement chart. Strictly, an SLU award is a statutory award driven by your percentage loss of use — different from a Section 32 settlement, which is a negotiated lump sum that closes the case.","Muchos trabajadores lesionados llaman a su compensación SLU un ""convenio"", y la tabla de semanas por parte del cuerpo a menudo se busca como una tabla de convenios. En sentido estricto, una compensación SLU es una compensación legal determinada por su porcentaje de pérdida de uso — distinta de un convenio Section 32, que es una suma global negociada que cierra el caso.",,,,calculators.slu.jsonld.many-injured-workers-call-their
51,calculators.slu,eligibility,Which injuries qualify for SLU instead of LWEC?,¿Qué lesiones califican para SLU en lugar de LWEC?,,,,calculators.slu.jsonld.which-injuries-qualify-for-slu
52,calculators.slu,citation,"Many injured workers think of the SLU award as their ""settlement"" — if you've been searching for a NYS workers' comp settlement chart for an arm, hand, leg, or foot injury, the §15(3) schedule below is that chart, and this calculator turns it into a dollar estimate of your SLU settlement value.","Muchos trabajadores lesionados piensan en la compensación SLU como su ""convenio"" — si ha estado buscando una tabla de convenios de compensación laboral de NYS para una lesión de brazo, mano, pierna o pie, la tabla del §15(3) a continuación es esa tabla, y esta calculadora la convierte en una estimación en dólares del valor de su convenio SLU.",,,,calculators.slu.many-injured-workers-think-of
53,calculators.slu,citation,"PHP = Prior weeks paid at the temporary total (healing) rate, which may be added to the SLU calculation depending on specific circumstances. This WCL §15(3) schedule is what many people mean by the ""NYS workers' comp settlement chart"" for schedule injuries.","PHP = Semanas previas pagadas a la tasa temporal total (de curación), que pueden sumarse al cálculo del SLU según las circunstancias específicas. Esta tabla de WCL §15(3) es a lo que muchas personas se refieren como la ""tabla de convenios de compensación laboral de NYS"" para lesiones programadas.",,,,calculators.slu.php-prior-weeks-paid-at
54,calculators.slu,citation,"Schedule Loss of Use (SLU) is a fixed benefit available to injured workers in New York State under Workers' Compensation Law §15(3). Unlike permanent partial disability benefits, SLU provides a predetermined number of weeks of benefits based on the specific body part injured and the degree of permanent loss of use.","La Pérdida permanente del uso (SLU) es un beneficio fijo disponible para los trabajadores lesionados en el estado de Nueva York conforme a la Ley de Compensación Laboral §15(3). A diferencia de los beneficios por incapacidad parcial permanente, el SLU otorga un número predeterminado de semanas de beneficios según la parte del cuerpo lesionada específica y el grado de pérdida permanente del uso.",,,,calculators.slu.schedule-loss-of-use-slu
55,calculators.slu-permanency-awards-under-wcl,citation,SLU permanency awards under WCL §15(3) for every body part. Includes the 2024 Permanency Guidelines update and award calculation by AWW × loss % × statutory weeks.,Compensaciones de permanencia SLU conforme a WCL §15(3) para cada parte del cuerpo. Incluye la actualización de las Guías de Permanencia de 2024 y el cálculo de la compensación mediante AWW × % de pérdida × semanas legales.,,,,calculators.slu-permanency-awards-under-wcl
56,coming-soon,citation,"GPS detects when you travel to treatment. Automatically logs date, origin, destination, and round-trip mileage. Auto-fills your C-257 Travel Reimbursement form — print and submit.","El GPS detecta cuándo se traslada a su tratamiento. Registra automáticamente la fecha, origen, destino y millaje de ida y vuelta. Completa automáticamente su formulario de Reembolso de Viajes C-257 — imprima y presente.",,,,coming-soon.gps-detects-when-you-travel
57,connect-with-attorney,filing,"Submit your case details and we'll connect you with a licensed NYS workers' compensation attorney. It's free, simple, and transparent.","Envíe los detalles de su caso y lo conectaremos con un abogado de compensación laboral con licencia en NYS. Es gratis, simple y transparente.",,,,connect-with-attorney.submit-your-case-details-and
58,connect-with-attorney,filing,"Submit your county, injury type, and case stage. No account needed. Your information stays private and is only shared with one participating attorney at a time.","Envíe su condado, tipo de lesión y etapa del caso. No necesita cuenta. Su información se mantiene privada y solo se comparte con un abogado participante a la vez.",,,,connect-with-attorney.submit-your-county-injury-type
59,disclaimer,eligibility,"Inclusion of any attorney in The Comp Desk's Find an Attorney directory is not an endorsement, recommendation, or certification of that attorney's qualifications or services.","La inclusión de cualquier abogado en el directorio Find an Attorney de The Comp Desk no constituye un aval, recomendación o certificación de las calificaciones o servicios de ese abogado.",,,,disclaimer.inclusion-of-any-attorney-in
60,disclaimer,eligibility,"The content, calculators, guides, and tools available on The Comp Desk (thecompdesk.com) are provided for general informational purposes only. Nothing on this site constitutes legal advice, legal opinion, or a substitute for consultation with a qualified attorney licensed in your jurisdiction.","El contenido, las calculadoras, las guías y las herramientas disponibles en The Comp Desk (thecompdesk.com) se ofrecen únicamente con fines informativos generales. Nada en este sitio constituye asesoría legal, opinión legal, ni sustituye la consulta con un abogado calificado con licencia en su jurisdicción.",,,,disclaimer.the-content-calculators-guides-and
61,legal.privacy,obligation filing,"If a data breach affecting your personal information occurs, we will notify affected users and applicable authorities as required by law.","Si ocurre una brecha de datos que afecte su información personal, notificaremos a los usuarios afectados y a las autoridades correspondientes según lo exija la ley.",,,,legal.privacy.if-a-data-breach-affecting
62,legal.privacy,filing,"Our calculators run entirely in your browser; the wages, dates, and other figures you enter are processed on your device and are not transmitted to or stored on our servers. Separately, if you submit a contact form, request an attorney referral, create an account, or opt in to IME or hearing reminders, we collect the information you choose to provide. Depending on what you do, this may include your name, email address, phone number, and details about your potential workers' compensation matter, so that we can respond to you, route your request to a participating attorney, or send the reminders you requested.","Nuestras calculadoras funcionan completamente en su navegador; los salarios, fechas y demás cifras que ingresa se procesan en su dispositivo y no se transmiten ni almacenan en nuestros servidores. Por separado, si envía un formulario de contacto, solicita una referencia de abogado, crea una cuenta o se suscribe a recordatorios de IME o audiencias, recopilamos la información que usted decide proporcionar. Según lo que haga, esto puede incluir su nombre, dirección de correo electrónico, número de teléfono y detalles sobre su posible asunto de compensación laboral, para que podamos responderle, dirigir su solicitud a un abogado participante o enviarle los recordatorios que solicitó.",,,,legal.privacy.our-calculators-run-entirely-in
